,checkin_id,created_at,rating_score,user_id,beer_id,beer_name,beer_style,beer_slug,brewery_name,brewery_country,brewery_city,venue_country,venue_city
111,912291144,2020,2.5,1279815,39869,Oettinger Hefeweißbier Naturtrüb / Weissbier,Hefeweizen,oettinger-brauerei-oettinger-hefeweissbier-naturtrub-weissbier,Oettinger Brauerei,Germany,Oettingen,Belarus,Мінск
112,912290793,2020,2.0,1279815,84468,Königsbacher Pilsener,Pilsner - German,bitburger-brauerei-konigsbacher-pilsener,Bitburger Brauerei,Germany,Bitburg,Belarus,Мінск
113,912274025,2020,4.0,1279815,3841368,Acid Toad,Sour - Fruited,jungle-brewery-acid-toad,Jungle Brewery,Belarus,Юзуфово,Belarus,Мінск
114,912204911,2020,3.5,1279815,3270181,Trendy #9,IPA - New England,edge-brewing-barcelona-trendy-9,Edge Brewing Barcelona,Spain,Barcelona,Belarus,Мінск
115,912200844,2020,4.0,1279815,3047146,Blue Berry Jam,Cider - Other Fruit,gravity-project-blue-berry-jam,Gravity Project,Russia,Saint Petersburg,Belarus,Мінск
116,912050573,2020,3.75,1279815,3759076,Алiварскi квас чорны «Dark Side»,Kvass,pivovarennaya-kompaniya-alivariya-alivaria-brewery-alivarski-kvas-chorny-dark-side,Пивоваренная компания «Аливария» (Alivaria Brewery),Belarus,Минск,Belarus,Мінск
117,911776781,2020,2.75,1279815,15551,Dutch Windmill,Lager - Pale,h-west-b-v-dutch-windmill,H-West B.V.,Netherlands,De Meern,Belarus,
118,911741113,2020,3.25,1279815,3220891,Bohemian Premium Lager,Pilsner - Czech,old-prague-distribution-bohemian-premium-lager,Old Prague Distribution,Czech Republic,,Belarus,
119,911679138,2020,3.75,1279815,3831565,Ich Weiss Nicht,Hefeweizen,beetlefield-ich-weiss-nicht,Beetlefield,Belarus,Minsk,Belarus,
120,911654894,2020,4.0,1279815,3841892,Muson: Cytrus,Sour - Fruited,malanka-muson-cytrus,Malanka,Belarus,Minsk,Belarus,
121,911639877,2020,4.0,1279815,3656659,Ma Baker,Sour - Fruited,bottle-share-ma-baker,Bottle Share,Russia,Moscow,Belarus,
122,911613099,2020,3.75,1279815,3765065,G.see Spring,IPA - New England,xp-brew-g-see-spring,XP Brew,Russia,Gagarin,Belarus,
123,911609511,2020,3.0,1279815,3683577,Sour Diesel Therapy: Raspberry ∙ Blueberry ∙ Blackberry,Sour - Fruited,af-brew-sour-diesel-therapy-raspberry-blueberry-blackberry,AF Brew,Russia,Saint Petersburg,Belarus,
124,911608554,2020,4.0,1279815,3484729,Strawberry Pie,Sour - Fruited Berliner Weisse,brewski-strawberry-pie,Brewski,Sweden,Helsingborg,Belarus,
125,911608337,2020,3.5,1279815,3717957,Burning Jam: Pink Guava & Melon,Sour - Fruited Gose,brew-division-burning-jam-pink-guava-and-melon,Brew Division,Russia,Saint Petersburg,Belarus,
126,911460926,2020,0.0,1279815,3832252,Freshly Hallows,Cider - Dry,beetlefield-freshly-hallows,Beetlefield,Belarus,Minsk,Belarus,
127,911454959,2020,4.0,1279815,804906,Chér Chér (Semi-Dry),Cider - Traditional,pervaya-distilyrnya-pervaya-distilyarnya-cher-cher-semi-dry,Pervaya Distilyarnya (Первая Дистилярня),Belarus,Вертелишки,Belarus,
128,911410737,2020,3.5,1279815,3841523,Lager'OK,Lager - IPL (India Pale Lager),13-litar-lager-ok,13 Litar,Belarus,д. Теребунь,Belarus,
129,911409245,2020,3.0,1279815,3820141,HOPS Premium Pilsner,Pilsner - Czech,pervaya-remeslennaya-pivovarnya-hops-hops-premium-pilsner,Первая Ремесленная Пивоварня Hops,Belarus,улица Колесникова 38,Belarus,
130,911225054,2020,4.0,1279815,3767908,The Clash,Cider - Dry,rock-n-rolla-s-the-clash,Rock-n-Rolla's,Belarus,,Belarus,
131,911222751,2020,3.5,1279815,3830850,No Way Back,Pale Ale - American,jungle-brewery-no-way-back,Jungle Brewery,Belarus,Юзуфово,Belarus,
132,911143188,2020,0.0,1279815,2929830,Tapman,Sour - Fruited,bottle-share-tapman,Bottle Share,Russia,Moscow,Belarus,
133,911138590,2020,2.75,1279815,3839854,Duchess Fountain (Дюшесовый фонтан),Hard Seltzer,pan-kachyn-pan-kachyn-duchess-fountain-dyushesovyj-fontan,Pan Kachyn (Пан Качын),Belarus,Zhazhelka,Belarus,
134,911136921,2020,3.75,1279815,2486240,Juice Box,Pale Ale - New England,jungle-brewery-juice-box,Jungle Brewery,Belarus,Юзуфово,Belarus,
135,911135830,2020,3.75,1279815,3831565,Ich Weiss Nicht,Hefeweizen,beetlefield-ich-weiss-nicht,Beetlefield,Belarus,Minsk,Belarus,
136,911135011,2020,4.25,1279815,3833702,Mroiva: Citra & Mosaic,Pale Ale - New England,malanka-mroiva-citra-and-mosaic,Malanka,Belarus,Minsk,Belarus,
137,911134013,2020,4.25,1279815,3840387,Synergy:Lime+,Sour - Fruited,stray-brewery-synergy-lime,Stray Brewery,Belarus,,Belarus,
138,911118836,2020,4.25,1279815,3841368,Acid Toad,Sour - Fruited,jungle-brewery-acid-toad,Jungle Brewery,Belarus,Юзуфово,Belarus,
139,911116904,2020,3.0,1279815,288920,LIDSKAE Белае,Wheat Beer - Witbier,lidskoe-pivo-lidskoe-pivo-lidskae-belae,Lidskoe Pivo (Лидское Пиво),Belarus,Lida,Belarus,
140,911080775,2020,3.25,1279815,21655,Alivaria Beloe Zoloto (Аливария Белое Золото),Wheat Beer - Witbier,pi-zavod-alivaryya-alivaria-brewery-alivaria-beloe-zoloto-alivariya-beloe-zoloto,Пивоваренная компания «Аливария» (Alivaria Brewery),Belarus,Минск,Belarus,
141,910581743,2020,0.0,1279815,3831565,Ich Weiss Nicht,Hefeweizen,beetlefield-ich-weiss-nicht,Beetlefield,Belarus,Minsk,Belarus,
142,910574740,2020,3.25,1279815,35320,Wittekerke,Wheat Beer - Witbier,brouwerij-de-brabandere-wittekerke,Brouwerij De Brabandere,Belgium,Bavikhove,Belarus,
143,910573898,2020,4.25,1279815,3833702,Mroiva: Citra & Mosaic,Pale Ale - New England,malanka-mroiva-citra-and-mosaic,Malanka,Belarus,Minsk,Belarus,
144,910099500,2020,0.0,1279815,3831565,Ich Weiss Nicht,Hefeweizen,beetlefield-ich-weiss-nicht,Beetlefield,Belarus,Minsk,Belarus,Мінск
145,909956715,2020,3.75,1279815,93420,Edelweiss Hefetrüb,Hefeweizen,brau-union-osterreich-edelweiss-hefetrub,Brau Union Österreich,Austria,Linz,Belarus,Мінск
146,909931395,2020,4.0,1279815,3193730,Lithium Gose,Sour - Fruited Gose,nuclear-brewery-lithium-gose,Nuclear Brewery,Russia,,Belarus,Мінск
147,909930979,2020,3.75,1279815,3812001,Villabajo (Виллабаджо),Freeze-Distilled Beer,midnight-project-villabajo-villabadzho,Midnight Project,Belarus,Tsentralny District,Belarus,Мінск
148,909930760,2020,4.0,1279815,3813427,Yellow Tart,Sour - Fruited,plan-b-brewery-yellow-tart,Plan B Brewery,Russia,Yaroslavl,Belarus,Мінск
149,909891890,2020,4.0,1279815,3133446,Kiss the Dust! DDH Mosaic+Citra,IPA - Sour,af-brew-kiss-the-dust-ddh-mosaic-citra,AF Brew,Russia,Saint Petersburg,Belarus,Минск
